f,i,j,w
1,20,26,0.17046246
1,21,26,0.03236034
1,23,26,0.38222724
1,24,26,0.19292943
1,26,26,0.7482128
1,27,25,0.006623932
1,28,25,0.021905052
1,30,25,0.29617006
1,31,25,0.22338237
1,33,25,0.8612491
1,34,24,0.087137654
1,35,24,0.11334318
1,37,24,0.67418414
1,38,23,0.038249947
1,39,23,0.10204582
1,41,23,0.7353447
1,42,22,0.124276556
1,43,22,0.19263256
1,44,21,0.0010364135
1,46,21,0.42857033
1,47,20,0.046665315
1,48,20,0.14666095
1,50,19,0.23200156
1,51,19,0.66778225
1,52,18,0.30352995
1,53,17,0.0880446
1,54,17,0.2743885
1,55,16,0.13447374
1,56,15,0.06237544
1,57,14,0.033748887
1,58,13,0.032675464
1,59,12,0.055997446
1,60,11,0.11876963
1,61,10,0.2607972
1,62,9,0.5540133
1,62,7,0.0029803005
1,63,6,0.20284148
1,63,5,0.04212091
1,64,3,0.23209128
1,64,2,0.45975384
0,0,0,NaN
2,52,2,0.41948712
2,52,3,0.088313825
2,53,5,0.7855423
2,53,6,0.20510451
2,54,7,0.05671758
2,54,9,0.23347937
2,55,10,0.326697
2,56,11,0.33811235
2,57,12,0.33683294
2,58,13,0.35921726
2,59,14,0.41654542
2,60,15,0.50177675
2,61,16,0.59515876
2,62,17,0.6686698
2,63,17,0.11631809
2,64,18,0.20480546
2,65,19,0.18312839
2,66,19,0.0009765778
2,68,20,0.5030997
2,69,20,0.052378275
2,70,21,0.15423433
2,72,21,0.09385598
2,73,22,0.44447055
2,74,22,0.081497006
2,75,23,0.066378154
2,77,23,0.32092977
2,78,23,0.028539065
2,79,24,0.06255707
2,81,24,0.3147791
2,82,24,0.053266827
2,83,25,0.014043653
2,85,25,0.40733874
2,86,25,0.10991013
2,88,25,0.17876613
2,89,25,0.0067978865
2,90,27,0.01787106
4,244,2,0.21792917
4,244,3,0.14147556
4,244,5,0.5050291
4,244,6,0.33736706
4,244,7,0.08944138
4,244,9,0.5591854
4,244,10,0.2573969
4,244,12,0.76663506
4,244,13,0.42699593
4,244,14,0.07842301
4,244,16,0.562199
4,244,17,0.21743284
4,244,19,0.62676835
4,244,20,0.3015941
4,244,21,0.038523443
4,244,23,0.28985325
4,244,24,0.08306571
4,244,26,0.13474657
4,245,27,0.48681006
4,245,28,0.08725529
4,245,30,0.4331433
4,239,34,0.19349897
4,239,36,0.19232719
4,240,37,0.18543673
4,240,39,0.4176004
4,240,41,0.41499904
4,240,42,0.041808695
4,241,44,0.59910136
4,241,45,0.07307535
4,241,47,0.01653799
4,242,49,0.60818326
4,242,50,0.07053349
4,243,52,0.57458216
4,243,53,0.04727684
4,244,55,0.43546173
4,244,56,0.0065294215
4,245,58,0.2437673
4,246,60,0.7772879
4,246,61,0.057298973
4,247,63,0.32857376
4,248,64,0.10269602
4,249,66,0.4666845
4,250,68,0.8930106
4,251,69,0.37194097
4,252,71,0.6924746
4,253,72,0.16056997
4,254,74,0.24554889
4,256,75,0.08647486
4,257,77,0.16923937
